solution_id,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,sensor_type,algo_type,storage_type,comm_type,deploy_type,raw_data_gb_per_year,sent_data_gb_per_year,data_reduction_ratio,lod_data_multiplier,rate_data_multiplier,comm_bandwidth_GBps,comm_time_seconds,compute_seconds_per_GB,deployment_compute_factor,compute_time_seconds,base_algo_recall,sensor_precision,lod_bonus,sigmoid_z,tau,tau0,cost_rank,recall_rank,carbon_rank,reliability_rank,latency_rank,disruption_rank
26,Vehicle_Smartphone_System,Traditional_Canny_Optimized,10.000604670014111,Macro,Micro,0.5553200123091339,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,87,527563.0747889328,0.1167018958178454,66.05974462113159,2.8598872861795104,174.1830090268938,0.0005595695860656207,0.8832981041821546,1787.0878348322706,0.20400546059729116,52756.30747889328,263.7815373944664,0.17418300902689382,True,Vehicle,Traditional,Hot,5G,default,4.1956559822473,2.93695918757311,0.7,0.5,0.20001209340028223,0.125,5.600338615207902,0.5,1.5,0.5250317451757408,0.68,0.7,-0.4,2.0240399630725983,0.5553200123091339,0.5,1.0,23.0,17.0,26.0,8.0,9.0
15,Vehicle_Smartphone_System,Traditional_Otsu_Enhanced,61.92880855525439,Macro,Micro,0.14800730412399235,Storage_PostgreSQL_PostGIS,Communication_V2X_RSU,Deployment_Jetson_AGX_Orin,1,131,643134.7106371832,0.040000000000000036,99.24650667655857,1.8993144572337206,122.90239733795346,0.0005575854590814937,0.96,1793.4470558957767,0.20473139907486035,64313.471063718316,321.5673553185916,0.12290239733795345,True,Vehicle,Traditional,Hot,V2X,default,17.25497337608233,12.07848136325763,0.7,0.5,1.2385761711050878,0.00125,3468.0132790942453,0.5,1.5,3.251262449150855,0.65,0.7,-0.4,3.215622130404295,0.14800730412399235,0.5,2.0,7.5,9.0,25.0,23.0,7.0
3,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,11.45321250251861,Macro,Micro,0.4396239658593126,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,106,657673.6296188566,0.08540098477676206,67.36845293715947,4.790338735033064,163.40078639891593,0.0001874423501676566,0.9145990152232379,5334.9736551294645,0.6090152574348704,65767.36296188566,328.83681480942835,0.16340078639891592,True,Camera,Traditional,Hot,5G,default,78.87589742300553,55.21312819610387,0.7,0.5,0.2290642500503722,0.125,128.27598002820844,0.5,1.5,12.025873127644541,0.68,0.7,-0.4,2.371128102422062,0.4396239658593126,0.5,3.0,18.0,14.0,17.0,16.0,12.0
1,Vehicle_Accelerometer_Pro,Traditional_Canny_Optimized,10.665305467642598,Micro,Micro,0.320596586336401,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,15,758623.6835166857,0.040000000000000036,66.09497566785309,15.797472628420149,957.8683199490097,0.00020939414746912942,0.96,4775.6826639456485,0.545169253875074,75862.36835166857,379.31184175834284,0.9578683199490097,True,Vehicle,Traditional,Hybrid,5G,default,37.37123035861966,26.159861251033764,0.7,1.8,0.21330610935285196,0.125,8.600502329106991,0.5,1.5,0.8062970933537804,0.68,0.7,0.6,3.728210240990797,0.320596586336401,0.5,4.0,7.5,25.0,18.5,10.0,24.0
18,Vehicle_Accelerometer_Pro,Traditional_Canny_Optimized,10.207098323383631,Macro,Micro,0.13023486157329145,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,32,779872.1093698359,0.040000000000000036,66.02439129401893,7.405065294571944,478.2404024037476,0.00020939414746912942,0.96,4775.6826639456485,0.545169253875074,77987.2109369836,389.93605468491796,0.4782404024037476,True,Vehicle,Traditional,Hybrid,5G,default,4.656988610043782,3.2598920270306473,0.7,0.5,0.20414196646767263,0.125,2.2863900244379334,0.5,1.5,0.21434906479105625,0.68,0.7,-0.4,3.2992954152801257,0.13023486157329145,0.5,5.0,7.5,23.0,18.5,7.0,17.0
17,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,58.65791193964985,Macro,Micro,0.12484421307885914,Storage_AWS_S3_Glacier,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,1,108,808741.2716574897,0.040000000000000036,79.90958531619049,4.701628758458378,162.33498652686924,0.00017533708806239447,0.96,5703.299918179008,0.6510616344953206,80874.12716574897,404.37063582874487,0.16233498652686926,True,Camera,Traditional,Archive,5G,Cloud,396.4840344068926,396.4840344068926,1.0,0.5,1.173158238792997,0.125,938.5265910343977,0.5,1.0,58.65791193964986,0.68,0.7,-0.4,3.358756920461672,0.12484421307885914,0.5,6.0,7.5,13.0,16.0,21.0,11.0
13,Vehicle_Smartphone_System,Traditional_Canny_Optimized,10.785368274101163,Macro,Meso,0.5690470968946588,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,83,931533.0636468041,0.1567172996166205,66.06443287806715,2.9977131794893657,181.585467169281,0.00023320367127865324,0.8432827003833795,4288.097157806353,0.4895088079687617,93153.30636468041,465.76653182340203,0.181585467169281,True,Vehicle,Traditional,Hybrid,5G,default,4.742963156683041,3.3200742096781286,0.7,0.5,0.21570736548202327,0.125,6.039806233496651,0.5,1.5,0.566231834390311,0.68,0.7,-0.4,1.6828587093160237,0.5690470968946588,0.5,7.0,25.0,18.0,23.0,9.0,10.0
20,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.412215343386022,Macro,Micro,0.2957475627386337,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,74,985698.0247787904,0.05717535770932414,67.2440724963289,6.861836566398713,217.86240587503326,0.00010258019477918541,0.9428246422906759,9748.470473784968,1.1128390951809324,98569.80247787904,492.8490123893952,0.21786240587503325,True,Camera,Traditional,Hybrid,5G,default,102.71509730637563,71.90056811446293,0.7,0.5,0.20824430686772044,0.125,116.61681184592344,0.5,1.5,10.932826110555322,0.68,0.7,-0.4,2.8027573117840987,0.2957475627386337,0.5,8.0,16.0,19.0,11.5,14.0,14.0
19,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,11.461659605902188,Macro,Micro,0.4102964089129162,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,1,39,993447.3186271689,0.07877484362656306,67.36946221411415,13.019895023423203,387.439268324541,0.00010207894164635332,0.9212251563734369,9796.339811833503,1.1183036314878427,99344.73186271689,496.72365931358445,0.387439268324541,True,Camera,Traditional,Hybrid,5G,default,214.53875672586148,150.17712970810302,0.7,0.5,0.22923319211804377,0.125,128.3705875861045,0.5,1.5,12.034742586197297,0.68,0.7,-0.4,2.4591107732612514,0.4102964089129162,0.5,9.0,17.0,21.0,9.0,17.0,22.0
23,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.430626913549577,Macro,Micro,0.148727802540043,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,36,994543.0171087465,0.040000000000000036,67.24627234787819,14.104886275375133,416.18028360968077,0.00010258019477918541,0.96,9748.470473784968,1.1128390951809324,99454.30171087464,497.2715085543732,0.4161802836096808,True,Camera,Traditional,Hybrid,5G,default,211.50993463586644,148.0569542451065,0.7,0.5,0.20861253827099155,0.125,116.82302143175527,0.5,1.5,10.952158259227057,0.68,0.7,-0.4,3.2438165923798707,0.148727802540043,0.5,10.0,7.5,22.0,11.5,15.0,23.0
24,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.037709839842181,Macro,Micro,0.6153471795052274,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,1,100,1067030.6091758022,0.1365838045783936,67.1993258231842,5.077759059135049,168.88145474073036,0.00010207894164635332,0.8634161954216064,9796.339811833503,1.1183036314878427,106703.06091758022,533.5153045879011,0.16888145474073035,True,Camera,Traditional,Hybrid,5G,default,73.27528183084792,51.29269728159354,0.7,0.5,0.20075419679684361,0.125,112.42235020623242,0.5,1.5,10.53959533183429,0.68,0.7,-0.4,1.8439584614843176,0.6153471795052274,0.5,11.0,24.0,16.0,9.0,13.0,13.0
25,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.000376194093844,Macro,Micro,0.24584418735825572,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,1,27,1069913.5052946068,0.04962002303317625,67.19486512386791,18.806515033833513,544.3252772590357,0.00010207894164635332,0.9503799769668237,9796.339811833503,1.1183036314878427,106991.35052946067,534.9567526473033,0.5443252772590357,True,Camera,Traditional,Hybrid,5G,default,270.38054154401874,189.2663790808131,0.7,0.5,0.2000075238818769,0.125,112.00421337385103,0.5,1.5,10.500395003798534,0.68,0.7,-0.4,2.9524674379252325,0.24584418735825572,0.5,12.0,15.0,24.0,9.0,12.0,25.0
14,Camera_Basler_ace2Pro,Traditional_Morphology,10.040902740626917,Macro,Micro,0.4773659914923384,Storage_Hybrid_Tiered,Communication_V2X_RSU,Deployment_Jetson_AGX_Orin,3,102,1087259.0833013146,0.10833115522791958,173.80925640030068,8.960751280826557,165.55579633195302,9.076784426820475e-05,0.8916688447720804,11017.117439135789,1.257661808120524,108725.90833013147,543.6295416506573,0.16555579633195303,True,Camera,Traditional,Hybrid,V2X,default,71.86136275154558,50.302953926081905,0.7,0.5,0.20081805481253834,0.00125,11245.811069502146,0.5,1.5,10.542947877658262,0.63,0.7,-0.4,2.107902025522985,0.4773659914923384,0.5,13.0,20.0,15.0,6.5,25.0,19.0
2,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.250585720722986,Macro,Micro,0.12936913994160532,Storage_Hybrid_Tiered,Communication_V2X_RSU,Deployment_Jetson_AGX_Orin,3,105,1097925.9508582456,0.040000000000000036,176.06062430495035,8.704729815660086,161.7434344738458,9.076784426820475e-05,0.96,11017.117439135789,1.257661808120524,109792.59508582456,548.9629754291228,0.16174343447384582,True,Camera,Traditional,Hybrid,V2X,default,71.26597691550266,49.886183840851864,0.7,0.5,0.20501171441445973,0.00125,11480.656007209744,0.5,1.5,10.763115006759135,0.68,0.7,-0.4,3.301892580175184,0.12936913994160532,0.5,14.0,7.5,12.0,6.5,26.0,18.0
21,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.4728752588118,Macro,Micro,0.10496263804817092,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,9,179,1623983.9101616978,0.040000000000000036,71.76927284745136,7.375515951816273,107.16251347370135,8.457971412549639e-05,0.96,11823.165996000358,1.3496764835616848,162398.39101616977,811.9919550808488,0.10716251347370136,True,Camera,Traditional,Hybrid,5G,Cloud,42.710608597388905,42.710608597388905,1.0,0.5,0.20945750517623601,0.125,167.5660041409888,0.5,1.0,10.4728752588118,0.68,0.7,-0.4,3.3751120858554873,0.10496263804817092,0.5,15.0,7.5,8.0,5.0,20.0,16.0
22,Vehicle_Smartphone_System,Traditional_Morphology,10.089801997861855,Macro,Micro,0.11787469535541249,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,1,178,1713459.4923690378,0.040000000000000036,66.00568199464173,1.3978100780765021,94.64627469462565,0.0002304735125484945,0.96,4338.893389276512,0.49530746452928215,171345.94923690378,856.7297461845188,0.09464627469462565,True,Vehicle,Traditional,Hybrid,Fiber,default,2.068976252370549,1.4482833766593843,0.7,0.5,0.2017960399572371,1.25,0.5650289118802639,0.5,1.5,0.5297146048877475,0.63,0.7,-0.4,3.1863759139337624,0.11787469535541249,0.5,16.0,7.5,6.0,22.0,6.0,6.0
7,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.346723247662421,Macro,Micro,0.12490675129026507,Storage_Hybrid_Tiered,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,6,42,1832134.1446484674,0.040000000000000036,66.11653355747741,31.4337465565503,358.72316045781866,8.222549524496172e-05,0.96,12161.678041839146,1.3883194111688524,183213.41446484675,916.0670723242338,0.35872316045781866,True,Camera,Traditional,Hybrid,Fiber,default,179.8359040665135,125.88513284655944,0.7,0.5,0.2069344649532484,1.25,11.588330037381912,0.5,1.5,10.864059410045542,0.68,0.7,-0.4,3.315279746129205,0.12490675129026507,0.5,17.0,7.5,20.0,4.0,11.0,26.0
12,Vehicle_Smartphone_System,ML_XGBoost_Tuned,27.947972251349437,Macro,Micro,0.32753303725749583,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,1,124,3272060.6020513284,0.040000000000000036,70.26052903606586,2.006533821754979,128.03454357304653,0.00021130657772309243,0.96,4732.460346362024,0.5402351993563954,327206.0602051328,1636.0303010256641,0.12803454357304653,True,Vehicle,ML,Hot,5G,Cloud,8.226620864308504,8.226620864308504,1.0,0.5,0.5589594450269888,0.125,22.358377801079552,3.0,1.0,8.384391675404832,0.89,0.7,-0.4,3.3374008882275126,0.32753303725749583,0.5,18.0,7.5,10.0,21.0,19.0,8.0
9,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,75.6710287213961,Macro,Meso,0.43418196584758484,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,6,143,3535286.6790979872,0.09833976953307155,82.78375738724006,9.23228919842736,146.12895500385602,7.140176936860427e-05,0.9016602304669284,14005.255175647022,1.598773421877514,353528.66790979874,1767.6433395489937,0.14612895500385603,True,Camera,Traditional,Hot,5G,Cloud,386.2926641022318,386.2926641022318,1.0,0.5,1.5134205744279219,0.125,1210.7364595423376,0.5,1.0,75.6710287213961,0.68,0.7,-0.4,2.215809246064226,0.43418196584758484,0.5,19.0,19.0,11.0,3.0,22.0,20.0
8,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.477708634801896,Macro,Micro,0.103509310309967,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Cloud_GPU_A4000,9,180,4058993.331343122,0.040000000000000036,70.1502480467588,7.33454086319507,106.92496981822114,7.00366900035249e-05,0.96,14278.230452490981,1.629934983161071,405899.3331343122,2029.496665671561,0.10692496981822114,True,Camera,Traditional,Hot,Fiber,Cloud,42.49292946336325,42.49292946336325,1.0,0.5,0.20955417269603793,1.25,16.764333815683035,0.5,1.0,10.477708634801896,0.68,0.7,-0.4,3.379472069070099,0.103509310309967,0.5,20.0,7.5,7.0,2.0,18.0,15.0
10,MMS_ZF_Profiler9020C,Traditional_Otsu_Enhanced,11.951787435068576,Macro,Micro,0.13956220511653225,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Cloud_GPU_A4000,1,179,4859333.564548743,0.040000000000000036,161.02831608321176,12.765316070451238,2189.304852844632,4.606408726379887e-05,0.96,21708.885585276454,2.478183285990463,485933.3564548743,2429.666782274371,2.189304852844632,True,MMS,Traditional,Hot,Fiber,Cloud,292.45155846704114,292.45155846704114,1.0,0.5,0.23903574870137154,1.25,114.73715937665834,0.5,1.0,71.71072461041146,0.65,0.7,-0.4,3.1813133846504034,0.13956220511653225,0.5,21.0,7.5,26.0,1.0,24.0,21.0
4,IoT_LoRaWAN_Sensor,Edge_TinyYOLO_v4,69.15492930591333,Macro,Meso,0.5814011917141874,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,101,4942328.791998403,0.11490685225612207,7.458103454870988,0.18259065109903427,11.164078586188248,0.00025499879836577745,0.8850931477438779,3921.587107110881,0.447669761085717,494232.8791998403,2471.1643959992016,0.011164078586188248,True,IoT,DL,Hot,5G,default,0.49983265735957155,0.34988286015170006,0.7,0.5,1.3830985861182665,0.125,0.7745352082262291,8.0,1.5,1.1618028123393436,0.78,0.7,-0.4,1.2415710713870045,0.5814011917141874,0.5,22.0,21.0,5.0,24.0,1.0,1.5
11,IoT_LoRaWAN_Sensor,Traditional_Morphology,15.545558265310454,Macro,Micro,0.7147999588645049,Storage_Hybrid_Tiered,Communication_V2X_RSU,Deployment_Jetson_AGX_Orin,6,30,5058838.551034236,0.19851523381320269,12.599618407399443,0.4747356928574892,11.14274055332768,0.0001308743891692702,0.8014847661867973,7640.914363364255,0.8722504981009424,505883.85510342364,2529.4192755171184,0.01114274055332768,True,IoT,Traditional,Hybrid,V2X,default,0.3782752511225544,0.2647926757857881,0.7,0.5,0.3109111653062091,0.00125,17.41102525714771,0.5,1.5,0.01632283617857598,0.63,0.7,-0.4,1.3956001234064854,0.7147999588645049,0.5,23.0,26.0,4.0,15.0,5.0,4.0
6,IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,67.49894370893998,Macro,Micro,0.1574086643439114,Storage_AWS_S3_Glacier,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,1,99,5249626.135605041,0.040000000000000036,7.482264895440553,0.18259065109903427,11.130828147195592,0.00021029640416085982,0.96,4755.193052350436,0.5428302571176297,524962.613560504,2624.8130678025204,0.011130828147195591,True,IoT,Traditional,Archive,Fiber,default,0.4977194839144059,0.3484036387400841,0.7,0.5,1.3499788741787995,1.25,0.07559881695401277,0.5,1.5,0.07087389089438698,0.68,0.7,-0.4,3.305268725512965,0.1574086643439114,0.5,24.0,7.5,3.0,20.0,2.0,1.5
16,IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,98.71817904458909,Macro,Meso,0.5321097233452445,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Cloud_GPU_A4000,8,44,7701968.518914717,0.11534585469072367,11.014400246576564,0.4747356928574892,10.672961185661244,0.00011862877523944573,0.8846541453092763,8429.6579643645,0.9622897219594178,770196.8518914718,3850.984259457359,0.010672961185661243,True,IoT,Traditional,Hot,Fiber,Cloud,1.6378243341488645,1.6378243341488645,1.0,0.5,1.9743635808917819,1.25,0.15794908647134256,0.5,1.0,0.0987181790445891,0.68,0.7,-0.4,2.0372617251872116,0.5321097233452445,0.5,25.0,22.0,1.0,13.5,4.0,4.0
5,IoT_LoRaWAN_Sensor,Traditional_Canny_Optimized,99.88040409438561,Meso,Micro,0.3388300396634175,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Cloud_GPU_A4000,6,58,7713583.850697952,0.040000000000000036,11.004361558532446,0.4747356928574892,10.71125387000118,0.00011862877523944573,0.96,8429.6579643645,0.9622897219594178,771358.3850697952,3856.791925348976,0.01071125387000118,True,IoT,Traditional,Hot,Fiber,Cloud,2.5142308616862588,2.5142308616862588,1.0,1.0,1.9976080818877122,1.25,0.31961729310203396,0.5,1.0,0.19976080818877123,0.68,0.7,0.0,3.3229119014816755,0.3388300396634175,0.5,26.0,7.5,2.0,13.5,3.0,4.0
